year,cbsa_code,cbsa_title,total_population,median_age,median_household_income,per_capita_income,total_housing_units,owner_occupied_units,renter_occupied_units,homeownership_rate,median_home_value,median_gross_rent,rent_as_pct_of_income,population_yoy,income_yoy
2015,33860,"Montgomery, AL Metro Area",374864,36.2,46523,24759,163883,92690,50171,64.88,129300,814,31.3,-0.10,-0.97
2014,33860,"Montgomery, AL Metro Area",375225,36.1,46977,24625,163130,93587,48764,65.74,128500,816,31.2,0.10,-0.66
2013,33860,"Montgomery, AL Metro Area",374868,36.1,47290,24482,162154,94488,46963,66.80,128100,809,32.4,0.07,-0.06
2012,33860,"Montgomery, AL Metro Area",374600,35.9,47317,24468,161707,95561,45517,67.74,128800,789,32.7,0.41,0.36
2011,33860,"Montgomery, AL Metro Area",373062,35.7,47146,24526,160811,95837,44552,68.27,128700,773,31.9,0.68,1.60
2010,33860,"Montgomery, AL Metro Area",370554,35.6,46404,23943,159820,96083,44374,68.41,124400,747,31.2,,
2023,33900,"Monticello, IN Micro Area",24709,42.5,66143,33178,12926,7826,2039,79.33,163000,853,27.5,,
2023,33910,"Monticello, NY Micro Area",79147,41.7,69826,40474,49667,20934,9281,69.28,234800,999,29.2,,
2023,33940,"Montrose, CO Micro Area",43272,45.7,66072,36936,19429,13085,4444,74.65,357900,1120,29.9,-9.40,1.60
2022,33940,"Montrose, CO Micro Area",47759,47.1,65033,36996,22570,14825,4652,76.12,338000,1086,31.3,1.23,11.07
2021,33940,"Montrose, CO Micro Area",47178,46.6,58551,32525,22010,14338,4706,75.29,280600,1010,28.2,0.02,4.46
2020,33940,"Montrose, CO Micro Area",47170,46.2,56051,31205,22682,14533,5209,73.61,260400,1012,29.1,1.48,8.53
2019,33940,"Montrose, CO Micro Area",46482,46.0,51647,29428,22233,14019,5284,72.63,240100,921,28.7,12.63,5.97
2018,33940,"Montrose, CO Micro Area",41268,45.1,48739,25803,18857,12111,5014,70.72,212900,859,28.6,0.88,8.63
2017,33940,"Montrose, CO Micro Area",40908,44.7,44865,24308,18716,11728,5223,69.19,202500,838,29.6,0.10,2.22
2016,33940,"Montrose, CO Micro Area",40866,44.6,43890,23276,18351,11546,5041,69.61,193300,797,31.5,0.12,-0.25
2015,33940,"Montrose, CO Micro Area",40815,44.2,43999,23144,18302,11746,5022,70.05,190900,814,30.8,-0.17,-1.97
2014,33940,"Montrose, CO Micro Area",40885,43.5,44885,23408,18280,11793,5022,70.13,194600,829,31.1,-0.33,-1.82
2013,33940,"Montrose, CO Micro Area",41020,42.8,45718,22897,18204,12132,4454,73.15,193700,848,29.8,0.06,-3.01
2012,33940,"Montrose, CO Micro Area",40994,42.6,47139,23018,18178,12406,4326,74.15,200900,816,29.1,0.45,-0.72
2011,33940,"Montrose, CO Micro Area",40812,42.0,47479,23498,18077,12083,4508,72.83,202200,813,29.5,1.36,1.91
2010,33940,"Montrose, CO Micro Area",40266,41.9,46590,23613,17828,12187,4148,74.61,201700,788,29.7,,
2023,33980,"Morehead City, NC Micro Area",68652,50.1,70235,42707,51615,22932,8266,73.50,304200,1062,33.9,0.44,4.88
2022,33980,"Morehead City, NC Micro Area",68353,49.9,66965,39817,51096,22174,8240,72.91,277400,1009,32.4,0.60,8.35
2021,33980,"Morehead City, NC Micro Area",67944,49.4,61805,36310,50642,21835,8234,72.62,237800,938,29.9,-1.96,6.80
2020,33980,"Morehead City, NC Micro Area",69301,49.2,57871,34038,50595,21537,8523,71.65,226700,921,27.4,0.33,1.18
2019,33980,"Morehead City, NC Micro Area",69070,48.6,57194,33722,50219,21590,8165,72.56,214100,902,26.6,0.22,5.08
2018,33980,"Morehead City, NC Micro Area",68920,47.9,54428,32005,49911,21435,8255,72.20,207900,896,27.3,0.32,5.51
2017,33980,"Morehead City, NC Micro Area",68699,47.4,51584,30903,49580,21801,8199,72.67,197700,864,27.1,0.24,1.95
2016,33980,"Morehead City, NC Micro Area",68537,46.9,50599,29349,48932,21428,8135,72.48,197600,847,28.4,0.45,4.42
2015,33980,"Morehead City, NC Micro Area",68228,46.4,48457,28991,48694,21029,8536,71.13,196800,794,28.6,0.56,2.71
2014,33980,"Morehead City, NC Micro Area",67851,46.0,47179,27975,48571,20612,8740,70.22,193500,780,28.3,0.97,1.39
2013,33980,"Morehead City, NC Micro Area",67198,45.9,46534,27496,48271,20462,8696,70.18,199200,759,29.0,1.18,-2.05
2012,33980,"Morehead City, NC Micro Area",66415,45.7,47506,27566,48148,19971,8264,70.73,207600,724,29.2,1.02,0.22
2011,33980,"Morehead City, NC Micro Area",65743,45.4,47403,27707,47901,20846,7846,72.65,208200,704,28.1,1.04,2.70
2010,33980,"Morehead City, NC Micro Area",65068,45.1,46155,26791,47459,21043,7589,73.49,207500,699,28.2,,
2023,34020,"Morgan City, LA Micro Area",48455,39.7,51768,28157,22510,13064,5641,69.84,128000,839,30.6,-1.34,9.40
2022,34020,"Morgan City, LA Micro Area",49114,39.5,47322,26949,22516,12946,5682,69.50,128000,829,33.7,-1.41,9.80
2021,34020,"Morgan City, LA Micro Area",49818,39.3,43097,23866,22561,12259,6306,66.03,110200,799,32.7,-0.40,7.16
2020,34020,"Morgan City, LA Micro Area",50020,39.4,40218,23306,23557,11910,7723,60.66,105800,784,30.4,-1.86,-0.66
2019,34020,"Morgan City, LA Micro Area",50968,39.0,40485,22839,23504,12056,7800,60.72,106900,781,29.0,-1.48,0.00
2018,34020,"Morgan City, LA Micro Area",51734,39.1,40485,22364,23489,12034,7706,60.96,106200,775,28.3,-1.61,-2.08
2017,34020,"Morgan City, LA Micro Area",52578,38.0,41345,22212,23413,12515,7517,62.48,97000,752,26.7,-0.90,1.41
2016,34020,"Morgan City, LA Micro Area",53053,38.1,40771,21989,23206,13091,7073,64.92,95500,688,27.2,-0.73,-0.02
2015,34020,"Morgan City, LA Micro Area",53441,37.7,40781,21847,23162,13607,6713,66.96,92900,674,27.6,-0.64,-2.80
2014,34020,"Morgan City, LA Micro Area",53784,37.9,41956,21616,23117,13897,6286,68.85,89700,671,27.1,-0.54,0.93
2013,34020,"Morgan City, LA Micro Area",54078,37.6,41571,21313,23020,13996,6096,69.66,88800,648,26.7,-0.38,2.04
2012,34020,"Morgan City, LA Micro Area",54285,37.4,40738,21088,22991,13943,6221,69.15,90600,625,27.5,-0.14,1.41
2011,34020,"Morgan City, LA Micro Area",54360,37.0,40171,20411,22939,14086,6062,69.91,87200,620,27.1,0.02,-0.64
2010,34020,"Morgan City, LA Micro Area",54348,37.2,40431,20057,22842,14067,5987,70.15,85500,598,27.4,,
2023,34060,"Morgantown, WV Metro Area",140724,35.0,62394,37435,65010,35857,21301,62.73,226800,926,32.8,0.38,2.84
2022,34060,"Morgantown, WV Metro Area",140194,34.6,60670,36095,64740,35389,21440,62.27,215300,914,33.1,0.17,7.74
2021,34060,"Morgantown, WV Metro Area",139961,35.1,56312,34054,64315,35034,21116,62.39,193000,854,31.9,0.11,4.90
2020,34060,"Morgantown, WV Metro Area",139806,34.6,53681,31557,60196,33518,19145,63.65,181600,831,31.4,0.47,2.58
2019,34060,"Morgantown, WV Metro Area",139157,34.2,52332,30396,60078,32705,19190,63.02,170600,819,31.1,0.05,5.78
2018,34060,"Morgantown, WV Metro Area",139089,33.8,49471,28864,60065,32155,19084,62.75,160900,802,31.5,1.17,1.75
2017,34060,"Morgantown, WV Metro Area",137475,33.6,48622,27628,59929,32309,18521,63.56,157300,774,31.7,0.63,4.60
2016,34060,"Morgantown, WV Metro Area",136620,33.2,46484,26477,59426,31866,18395,63.40,151500,743,31.9,0.84,2.58
2015,34060,"Morgantown, WV Metro Area",135477,32.8,45317,25012,59227,31116,18391,62.85,150300,729,32.5,1.06,-1.54
2014,34060,"Morgantown, WV Metro Area",134052,32.7,46028,24884,58994,31155,18312,62.98,144900,720,31.7,1.44,2.91
2013,34060,"Morgantown, WV Metro Area",132149,32.6,44727,24728,58526,30964,18182,63.00,143100,700,32.0,1.74,4.62
2012,34060,"Morgantown, WV Metro Area",129888,32.5,42751,23690,58119,30473,18084,62.76,136400,671,32.6,1.66,1.55
2011,34060,"Morgantown, WV Metro Area",127770,32.5,42100,22784,57754,30845,17329,64.03,132200,656,33.3,1.65,5.91
2010,34060,"Morgantown, WV Metro Area",125691,32.6,39749,22122,56982,31381,16542,65.48,121400,630,34.1,,
2023,34100,"Morristown, TN Metro Area",120765,42.0,58130,32354,53028,33409,13700,70.92,198000,853,27.4,-15.66,9.86
2022,34100,"Morristown, TN Metro Area",143196,42.9,52913,29207,64105,39677,15729,71.61,170100,803,28.4,0.90,9.18
2021,34100,"Morristown, TN Metro Area",141919,42.8,48464,26106,63607,38912,15321,71.75,149000,741,28.0,0.01,3.56
2020,34100,"Morristown, TN Metro Area",141909,43.0,46798,24572,62750,38513,15162,71.75,142800,715,27.4,0.71,2.01
2019,34100,"Morristown, TN Metro Area",140912,42.6,45878,24155,62496,38600,14969,72.06,137900,706,28.6,20.45,2.72
2018,34100,"Morristown, TN Metro Area",116987,41.7,44664,23437,51188,30974,13347,69.89,136400,700,28.7,0.55,2.25
2017,34100,"Morristown, TN Metro Area",116352,41.6,43683,22763,51063,30832,13599,69.39,133200,682,29.2,0.26,5.43
2016,34100,"Morristown, TN Metro Area",116054,41.5,41432,21568,50690,30711,13498,69.47,127800,658,29.8,0.49,4.17
2015,34100,"Morristown, TN Metro Area",115489,41.0,39772,21217,50601,30574,13575,69.25,125800,650,30.3,0.40,-0.13
2014,34100,"Morristown, TN Metro Area",115029,40.6,39822,21096,50587,31303,13077,70.53,123700,647,30.0,0.48,0.39
2013,34100,"Morristown, TN Metro Area",114480,40.0,39669,20971,50413,31672,12440,71.80,123800,628,29.2,-16.24,5.29
2012,34100,"Morristown, TN Metro Area",136682,40.1,37677,20041,61218,39407,13457,74.54,116300,615,29.9,0.50,0.79
2011,34100,"Morristown, TN Metro Area",135999,39.6,37380,20115,61021,39331,13592,74.32,115000,614,29.1,0.83,-0.73
2010,34100,"Morristown, TN Metro Area",134876,39.5,37656,19878,60532,39214,13457,74.45,114400,581,28.7,,
2023,34140,"Moscow, ID Micro Area",40315,30.7,65179,35157,17429,9737,6321,60.64,342500,905,29.7,1.11,4.69
2022,34140,"Moscow, ID Micro Area",39872,30.3,62258,33342,17301,9545,6384,59.92,309300,869,28.9,1.03,9.85
2021,34140,"Moscow, ID Micro Area",39464,30.1,56673,31027,17122,9059,6647,57.68,261500,786,30.1,-1.47,10.45
2020,34140,"Moscow, ID Micro Area",40052,29.5,51312,27644,17132,8720,7017,55.41,245200,728,30.6,1.38,4.38
2019,34140,"Moscow, ID Micro Area",39505,28.7,49158,27011,16960,8378,7044,54.32,228200,737,29.8,0.68,8.12
2018,34140,"Moscow, ID Micro Area",39239,28.3,45466,25623,16790,8232,7298,53.01,213600,700,33.9,1.40,4.98
2017,34140,"Moscow, ID Micro Area",38697,28.3,43310,24166,16626,8230,7218,53.28,207200,675,34.6,0.27,2.79
2016,34140,"Moscow, ID Micro Area",38593,28.3,42133,22717,16331,8214,7004,53.98,195800,661,36.1,0.66,-0.72
2015,34140,"Moscow, ID Micro Area",38339,28.5,42439,22766,16255,8149,6931,54.04,191100,658,35.2,0.92,1.18
2014,34140,"Moscow, ID Micro Area",37989,28.5,41944,22575,16167,8207,6862,54.46,189100,655,35.8,0.94,0.50
2013,34140,"Moscow, ID Micro Area",37636,28.5,41735,22322,16059,8471,6470,56.70,189100,661,34.0,0.73,5.75
2012,34140,"Moscow, ID Micro Area",37365,28.1,39466,22046,15963,8282,6731,55.17,189800,659,35.2,1.17,-0.28
2011,34140,"Moscow, ID Micro Area",36932,28.2,39578,21818,15897,8017,6784,54.17,187300,657,33.8,0.78,7.04
2010,34140,"Moscow, ID Micro Area",36645,27.9,36974,20218,15663,7908,6727,54.03,183800,634,37.2,,
2023,34180,"Moses Lake, WA Micro Area",100428,33.5,71115,32241,39496,22649,11853,65.65,275700,1059,25.6,1.29,7.12
2022,34180,"Moses Lake, WA Micro Area",99145,33.2,66387,29655,38851,21805,11861,64.77,244500,979,25.3,1.30,4.44
2021,34180,"Moses Lake, WA Micro Area",97874,33.2,63566,27466,38306,21097,11706,64.31,210100,887,25.1,1.27,7.44
2020,34180,"Moses Lake, WA Micro Area",96648,33.2,59165,25333,38083,20619,11289,64.62,191600,813,25.1,1.20,6.50
2019,34180,"Moses Lake, WA Micro Area",95502,32.9,55556,24280,37476,19264,11554,62.51,177500,785,23.9,0.68,1.04
2018,34180,"Moses Lake, WA Micro Area",94860,32.7,54982,23633,36982,18946,11705,61.81,171500,770,23.1,1.54,4.96
2017,34180,"Moses Lake, WA Micro Area",93420,32.6,52382,22508,36484,18928,11584,62.03,161700,752,24.5,0.96,4.46
2016,34180,"Moses Lake, WA Micro Area",92530,32.3,50145,20409,35534,18247,11536,61.27,153800,717,24.6,0.50,2.94
2015,34180,"Moses Lake, WA Micro Area",92070,32.2,48714,20251,35391,18369,11989,60.51,157500,696,24.9,0.67,4.15
2014,34180,"Moses Lake, WA Micro Area",91458,32.1,46772,19844,35286,18155,12078,60.05,160600,695,26.1,1.39,1.79
